-,Quantity,Units,grams,Calories (kCal),Protein(g),Carbohydrates (g),fats (g),fibre,glycemic index,POTASSIUM(mg),SODIUM(mg),PHOSPHOROUS (mg),CALCIUM,IRON,Vitamin A MCG,Vitamin D,Vitamin C,Vitamin E,Vitamin K,THIAMINE Vitamin B1,RIBOFLAVIN Vitamin B2,NIACIN Vitamin B3,vitamin B12,FOLIC ACID VITAMIN B9,MAGNESIUM,ZINC,SELENIUM
Vaangi Bath,1,plate,124,143,2.7,21.5,5.2,1.6,70,53,4,71,,,,,,,,,,,,,,,
Curd Rice,1,plate,124,134,3.7,21.2,3.8,0.6,65,168,21,231,,,,,,,,,,,,,,,
Ghee Rice,1,plate,124,233,3.7,24.8,13.2,0.8,70,100,4,70,,,,,,,,,,,,,,,
Veg Biriyani,1,plate,124,140,2.3,23.7,4.1,1.5,66,53,4,71,,,,,,,,,,,,,,,
Thakkali Sadam,1,plate,124,112,2.8,19,2.8,1.9,70,300,5,80,,,,,,,,,,,,,,,
Tomato Rice,1,plate,124,112,2.8,19,2.8,1.9,70,300,5,80,,,,,,,,,,,,,,,
Pulav,1,plate,124,134,2.4,22.5,3.7,1.7,66,53,4,71,,,,,,,,,,,,,,,
Vegetable Pulao,1,plate,124,134,2.4,22.5,3.7,1.7,66,53,4,71,,,,,,,,,,,,,,,
Khichdi,1,plate,100,140,6,20,4,1.1,70,60,5,89,,,,,,,,,,,,,,,
Kichdi,1,plate,100,140,6,20,4,1.1,70,60,5,89,,,,,,,,,,,,,,,
Mushroom Biriyani,1,plate,124,144,3.1,23.5,4.3,1.7,70,55,7,80,,,,,,,,,,,,,,,
Pudina Rice,1,plate,124,135,2.5,23.3,3.6,1,70,300,5,80,,,,,,,,,,,,,,,
Cumin Rice,1,plate,124,127,2.8,27.2,0.9,0.6,,60,5,89,,,,,,,,,,,,,,,
Jeera Rice,1,plate,124,127,2.8,27.2,0.9,0.6,,60,5,89,,,,,,,,,,,,,,,
Veg Fried Rice,1,plate,124,170,2.7,22,7.5,0.6,66,60,5,89,,,,,,,,,,,,,,,
Green Gram Baaji,1,cup,50,50,2.9,7.3,1.1,2.4,40,190,7,180,,,,,,,,,,,,,,,
Hesar Kalupalya,1,cup,50,50,2.9,7.3,1.1,2.4,40,190,7,180,,,,,,,,,,,,,,,
Moong Daal,1,cup,50,50,2.9,7.3,1.1,2.4,40,190,7,180,,,,,,,,,,,,,,,
Madki Kaal Palya,1,cup,50,60,3.1,7.7,1.9,0.3,38,210,6,160,,,,,,,,,,,,,,,
Matki Baaji,1,cup,50,60,3.1,7.7,1.9,0.3,38,210,6,160,,,,,,,,,,,,,,,
Moth Beans Baaji,1,cup,50,60,3.1,7.7,1.9,0.3,38,210,6,160,,,,,,,,,,,,,,,
Hulli Kaalu Palya,1,cup,50,52,3.2,8.4,0.6,0,51,190,7,180,,,,,,,,,,,,,,,
Horse Gram Baaji,1,cup,50,52,3.2,8.4,0.6,0,51,190,7,180,,,,,,,,,,,,,,,
Bhindi Baaji,1,cup,50,34,0.9,3.5,1.8,1.6,32,188,15,17,,,,,,,,,,,,,,,
Kosu Palya,1,cup,50,32,1,2.4,2.1,1.4,21,147,15,40,,,,,,,,,,,,,,,
Cabbage Bhaaji,1,cup,50,32,1,2.4,2.1,1.4,21,147,15,40,,,,,,,,,,,,,,,
Bele Palya,1,cup,1 KATORI,60,3,8,2,2.8,,,,,,,,,,,,,,,,,,,
Daal Fry,1,cup,1 KATORI,60,3,8,2,2.8,,,,,,,,,,,,,,,,,,,
Green Peas Baaji,1,cup,50,29,0.9,2.7,1.7,1.5,46,230,26,240,,,,,,,,,,,,,,,
Bataani Kaalu Palya,1,cup,50,29,0.9,2.7,1.7,1.5,46,230,26,240,,,,,,,,,,,,,,,
Kulcha,1,piece,70,163,3.8,24.7,5.2,1.2,55,24,2,24,,,,,,,,,,,,,,,
Paratha,1,piece,1 PAROTA,140,4.3,23.2,4.2,3.5,52,24,2,24,,,,,,,,,,,,,,,
Aloo Paratha,1,piece,100,175,4.1,27.8,5.4,3.8,78,243,7,97,,,,,,,,,,,,,,,
Methi Paratha,1,piece,80,203,5.8,30,6.8,4.9,46,57,5,64,,,,,,,,,,,,,,,
Paneer Paratha,1,piece,80,234,7,22,13.5,3.6,46,57,5,64,,,,,,,,,,,,,,,
Alu Gadde Palya,1,cup,50,100,1.2,11,5.8,0.6,70,300,,,,,,,,,,,,,,,,,
Potato Baaji,1,cup,50,100,1.2,11,5.8,0.6,70,300,,,,,,,,,,,,,,,,,
Paneer Masala,1,cup,100,137,7.3,5.6,9.5,1.1,44,,,,,,,,,,,,,,,,,,
Paneer Baaji,1,cup,50,137,7.3,5.6,9.5,1.1,44,,,,,,,,,,,,,,,,,,
Alu Baaji,1,cup,50,100,1.2,11,5.8,0.6,70,300,,,,,,,,,,,,,,,,,
Alu Mutter,1,cup,50,107,2.7,11,5.8,1.7,66,300,,,,,,,,,,,,,,,,,
Vegetable Baaji,1,cup,50,107,2.7,11,5.8,1.7,40,,,,,,,,,,,,,,,,,,
Bengan Baaji,1,cup,50,81,3.1,9.1,3.5,2.5,42,,,,,,,,,,,,,,,,,,
Badne Kayi Palya,1,cup,50,81,3.1,9.1,3.5,2.5,42,,,,,,,,,,,,,,,,,,
Brinjal Baaji,1,cup,50,81,3.1,9.1,3.5,2.5,42,,,,,,,,,,,,,,,,,,
Erulli Palya,1,cup,50,40,0.7,5.8,1.6,1.4,36,,,,,,,,,,,,,,,,,,
Onion Baaji,1,cup,50,40,0.7,5.8,1.6,1.4,36,,,,,,,,,,,,,,,,,,
Cluster Bean Bhaaji,1,cup,50,27,2.2,6.5,1.8,3.7,26,,,,,,,,,,,,,,,,,,
Chavali Kayi Palya,1,cup,50,27,2.2,6.5,1.8,3.7,26,,,,,,,,,,,,,,,,,,
Carrot Baaji,1,cup,50,45,0.8,5.6,2.3,2.6,44,,,,,,,,,,,,,,,,,,
Gaajar Baaji,1,cup,50,45,0.8,5.6,2.3,2.6,44,,,,,,,,,,,,,,,,,,
Southe Kayi Palya,1,cup,50,24,0.5,1.6,1.8,0.8,28,,,,,,,,,,,,,,,,,,
Cucumber Baaji,1,cup,50,24,0.5,1.6,1.8,0.8,28,,,,,,,,,,,,,,,,,,
Hirekayi Palya,1,cup,50,17,0.4,2,0.8,0.9,18,,,,,,,,,,,,,,,,,,
Ridge Gourd Baaji,1,cup,50,17,0.4,2,0.8,0.9,18,,,,,,,,,,,,,,,,,,
Beet Root Baaji,1,cup,50,37,1.1,5.1,1.5,2.2,78,,265,,,,,,,,,,,,,,,,
