itemID,Item,Quantity,Units,grams,Calories (kCal),Protein(g),Carbohydrates (g),fats (g),fibre,glycemic index,POTASSIUM(mg),SODIUM(mg),PHOSPHOROUS (mg),CALCIUM,IRON,Vitamin A MCG,Vitamin D,Vitamin C,Vitamin E,Vitamin K,THIAMINE Vitamin B1,RIBOFLAVIN Vitamin B2,NIACIN Vitamin B3,vitamin B12,FOLIC ACID VITAMIN B9,MAGNESIUM,ZINC,SELENIUM
86,Paneer Masala,1,cup,100,164.4,8.76,6.72,11.4,1.1,44,80,,,,,,,,,,,,,,,,,
87,Paneer Baaji,1,cup,100,164.4,8.76,6.72,11.4,1.1,44,80,,,,,,,,,,,,,,,,,
88,Alu Baaji,1,cup,100,120,1.44,13.2,6.96,0.6,70,300,,,,,,,,,,,,,,,,,
89,Alu Mutter,1,cup,100,128.4,3.24,13.2,6.96,1.7,66,300,,,,,,,,,,,,,,,,,
90,Vegetable Baaji,1,cup,100,128.4,3.24,13.2,6.96,1.7,40,80,,,,,,,,,,,,,,,,,
91,Bengan Baaji,1,cup,100,84,1.2,10.8,4.2,2.5,42,80,,,,,,,,,,,,,,,,,
92,Badne Kayi Palya,1,cup,100,84,1.2,10.8,4.2,2.5,42,80,,,,,,,,,,,,,,,,,
93,Brinjal Baaji,1,cup,100,84,1.2,10.8,4.2,2.5,42,80,,,,,,,,,,,,,,,,,
94,Erulli Palya,1,cup,100,84,1.2,10.8,4.2,1.4,36,80,,,,,,,,,,,,,,,,,
95,Onion Baaji,1,cup,100,84,1.2,10.8,4.2,1.4,36,80,,,,,,,,,,,,,,,,,
96,Cluster Bean Bhaaji,1,cup,100,65,2,7,3,2,26,80,,,,,,,,,,,,,,,,,
97,Chavali Kayi Palya,1,cup,100,70,1,9,3.5,3.7,26,80,,,,,,,,,,,,,,,,,
98,Carrot Baaji,1,cup,100,74,1,10,3.5,2.6,44,80,,,,,,,,,,,,,,,,,
99,Gaajar Baaji,1,cup,100,74,1,10,3.5,2.6,44,80,,,,,,,,,,,,,,,,,
100,Southe Kayi Palya,1,cup,100,60,0.5,10,3,0.8,28,80,,,,,,,,,,,,,,,,,
101,Cucumber Baaji,1,cup,100,60,0.5,10,3,0.8,28,80,,,,,,,,,,,,,,,,,
102,Hirekayi Palya,1,cup,100,64,0.5,11,3,0.9,18,80,,,,,,,,,,,,,,,,,
103,Ridge Gourd Baaji,1,cup,100,76.8,0.6,13.2,3.6,0.9,18,80,,,,,,,,,,,,,,,,,
104,Beet Root Baaji,1,cup,100,91.2,0.6,15.6,3.6,2.2,78,80,265,,,,,,,,,,,,,,,,
105,Spinach Baaji,1,cup,100,72,1.2,8.4,3.84,1.2,26,300,,,,,,,,,,,,,,,,,
106,Palak Baaji,1,cup,100,72,1.2,8.4,3.84,1.2,26,300,,,,,,,,,,,,,,,,,
107,Tapioca Baaji,1,cup,100,96,0.36,19.44,1.92,0.4,70,90,,,,,,,,,,,,,,,,,
108,Haagala Kayi Baaji,1,cup,100,76.8,0.6,13.2,3.6,2.1,38,300,,,,,,,,,,,,,,,,,
109,Bitter Gourd Baaji,1,cup,100,76.8,0.6,13.2,3.6,2.1,38,300,,,,,,,,,,,,,,,,,
110,Capsicum Baaji,1,cup,100,72,0.6,12,2.4,1,30,78,,,,,,,,,,,,,,,,,
111,Donne Menasina Kayi Palya,1,cup,100,72,0.6,12,2.4,1,30,78,,,,,,,,,,,,,,,,,
112,Hoo Kosu Palya,1,cup,100,62.4,1.2,7.56,3.48,1.2,28,60,,,,,,,,,,,,,,,,,
113,Cauliflower Baaji,1,cup,100,62.4,1.2,7.56,3.48,1.2,28,60,,,,,,,,,,,,,,,,,
114,Flat Beans Baaji,1,cup,100,84,3.6,9.6,3.6,2.4,19,200,,,,,,,,,,,,,,,,,
115,Avarekayi Palya,1,cup,100,84,3.6,9.6,3.6,2.4,19,200,,,,,,,,,,,,,,,,,
116,Radish Baaji,1,cup,100,50.4,0.48,6,2.64,0.9,18,200,,,,,,,,,,,,,,,,,
117,Moolangi Palya,1,cup,100,50.4,0.48,6,2.64,0.9,18,200,,,,,,,,,,,,,,,,,
118,Mooli Baaji,1,cup,100,50.4,0.48,6,2.64,0.9,18,200,,,,,,,,,,,,,,,,,
119,Pumpkin Baaji,1,cup,100,81.6,0.6,14.4,2.4,1.2,46,245,,,,,,,,,,,,,,,,,
120,Kumbal Kayi Palya,1,cup,100,81.6,1.2,14.4,2.4,1.2,46,245,,,,,,,,,,,,,,,,,
121,Mushroom baaji,1,cup,100,81.6,3.6,9.6,1.92,0.7,52,60,,,,,,,,,,,,,,,,,
122,Methi Baaji,1,cup,100,58.8,1.68,7.56,2.52,1.3,34,70,,,,,,,,,,,,,,,,,
123,Menthe Soppu Palya,1,cup,100,58.8,1.68,7.56,2.52,1.3,34,70,,,,,,,,,,,,,,,,,
124,Fenugreek Leaves Baaji,1,cup,100,58.8,1.68,7.56,2.52,1.3,34,300,,,,,,,,,,,,,,,,,
125,Rajgira Soppu Palya,1,cup,100,54,1.56,3.6,3.84,0.2,29,300,,,,,,,,,,,,,,,,,
126,Tambdi Baaji,1,cup,100,64.8,1.8,4.32,4.6,0.2,29,300,,,,,,,,,,,,,,,,,
127,Laal Math Baaji,1,cup,100,91.8,2.6,6.12,6.5,0.2,29,300,,,,,,,,,,,,,,,,,
128,Amaranth Baaji,1,cup,100,91.8,2.6,6.12,6.5,0.2,29,300,,,,,,,,,,,,,,,,,
129,Yam Baaji,1,cup,100,81.6,0.6,14.4,2.4,1.4,48,300,,,,,,,,,,,,,,,,,
130,Suran Sabji,1,cup,100,81.6,0.6,14.4,2.4,1.4,48,300,,,,,,,,,,,,,,,,,
131,Suvarna Gedde Baaji,1,cup,100,81.6,0.6,14.4,2.4,1.4,48,300,,,,,,,,,,,,,,,,,
132,Puran Poli,1,piece,50,228,4.56,29.04,10.44,3.2,78,50,,,,,,,,,,,,,,,,,
133,Holige,1,piece,50,228,4.56,29.04,10.44,3.2,78,50,,,,,,,,,,,,,,,,,
